career_title,skills_text,core_skills,bonus_skills,salary_range,difficulty
"Data Scientist","python machine learning data science pandas numpy scikit-learn statistics visualization deep learning pytorch sql tensorflow","Python, Pandas, Scikit-Learn, Statistics, SQL","PyTorch, TensorFlow, A/B Testing, AWS","$110k - $160k","High"
"Data Analyst","python pandas sql data analysis tableau powerbi excel statistics dashboard bi data wrangling","SQL, Excel, Data Analysis, Tableau, Python","Power BI, R, ETL, BigQuery, Dashboarding","$70k - $110k","Medium"
"Backend Engineer","python django flask api fastapi postgresql docker REST database backend microservices java go nodejs","Python/Java/Node, REST APIs, SQL, System Design","Docker, Kubernetes, Redis, AWS/GCP, Microservices","$100k - $150k","High"
"Frontend Engineer","javascript react html css typescript tailwind redux frontend web responsive UI UX nextjs vue","HTML/CSS, JavaScript, React/Vue, Responsive Design","TypeScript, Next.js, Redux, Tailwind CSS, Webpack","$90k - $140k","Medium"
"Full Stack Developer","python javascript html css sql git problem solving algorithms data structures backend frontend react node","JavaScript, React, Node.js/Python, SQL, Git","Docker, Cloud Platforms, CI/CD, GraphQL, Redis","$110k - $160k","High"
"DevOps Engineer","aws docker kubernetes terraform python linux ci/cd bash cloud devops ansible gitlab jenkins","Linux, Bash/Python, Docker, CI/CD, Git","Kubernetes, Terraform, AWS/Azure, Prometheus, Grafana","$115k - $165k","High"
"Cloud Architect","aws azure gcp cloud architecture serverless networking security linux docker kubernetes infrastructure","Cloud Platforms (AWS/GCP), System Architecture, Networking","Kubernetes, Terraform, Security, Serverless","$130k - $180k","Very High"
"Data Engineer","python sql spark hadoop kafka etl airflow data warehouse bigquery redshift pipeline","SQL, Python, ETL Pipelines, Data Warehousing","Apache Spark, Kafka, Airflow, AWS Redshift","$110k - $160k","High"
"Machine Learning Engineer","python machine learning mlops docker kubernetes tensorflow pytorch scikit-learn nlp computer vision","Python, Scikit-Learn, PyTorch/TensorFlow, MLOps","Docker, Kubernetes, AWS Sagemaker, NLP, CI/CD for ML","$125k - $175k","Very High"
"iOS Developer","swift ios xcode mobile uikit SwiftUI objective-c coredata apple swiftpm","Swift, iOS SDK, Xcode, UI/UX Principles","SwiftUI, CoreData, Combine, App Store Deployment","$100k - $150k","Medium"
"Android Developer","kotlin android java mobile jetpack compose room sqlite android studio mvvm","Kotlin, Android Studio, XML/Jetpack Compose","Room, Coroutines, MVVM Architecture, Hilt/Dagger","$100k - $150k","Medium"
"Cybersecurity Analyst","python cybersecurity network security linux ethical hacking firewalls penetration testing cryptography siem","Networking, Linux, Security Principles, Firewalls","SIEM, Penetration Testing, Python scripting, Cloud Security","$90k - $140k","High"
"UI/UX Designer","figma user research wireframing prototyping ui ux design usability testing visual design user flows adobe","Figma, UI Design, UX Research, Wireframing","Prototyping, Adobe Creative Suite, HTML/CSS Basics","$80k - $130k","Medium"
"QA Automation Engineer","python selenium cypress testing qa automation java appium postman api testing","Software Testing, Python/Java, Selenium/Cypress","API Testing (Postman), CI/CD Integration, Appium","$85k - $125k","Medium"
"Product Manager","product management agile scrum jira roadmap strategy communication user stories analytics","Agile/Scrum, Communication, Strategy, User Stories","Data Analytics, JIRA, Technical Architecture Basics","$110k - $160k","Medium"
